Date,U1
,-1.54345
,-1.46579
,-1.61117
,-1.51819
,-1.66941
,-1.58702
,-1.77091
,-1.64937
,-1.86341
,-1.7466
,-1.96507
,-1.83042
,-2.05567
,-1.93365
,-2.12734
,-2.03073
,-2.20405
,-2.0964
,-2.24083
,-2.16459
,-2.2754
,-2.21036
,-2.33065
,-2.24099
,-2.36932
,-2.28092
,-2.39915
,-2.30949
,-2.42015
,-2.33507
,-2.44288
,-2.37263
,-2.4765
,-2.40436
,-2.50712
,-2.43167
,-2.52733
,-2.47145
,-2.56458
,-2.48471
,-2.59804
,-2.51849
,-2.62361
,-2.55511
,-2.6555
,-2.59236
,-2.69054
,-2.61746
,-2.72874
,-2.64287
,-2.763
,-2.68739
,-2.78509
,-2.72416
,-2.8124
,-2.742
,-2.84003
,-2.7611
,-2.86323
,-2.80372
,-2.88564
,-2.83166
,-2.91895
,-2.85502
,-2.93837
,-2.87586
,-2.97436
,-2.90759
,-2.99993
,-2.9461
,-3.04807
,-2.96757
,-3.07317
,-3.02787
,-3.07443
,-3.01287
,-3.08264
,-3.03039
,-3.07427
,-3.02503
,-3.08753
,-3.02329
,-3.06102
,-2.99756
,-3.04807
,-2.9813
,-3.03513
,-2.97183
,-3.03355
,-2.98462
,-3.26054
,-3.01982
,-3.31231
,-3.25138
,-3.3805
,-3.29558
,-3.45848
,-3.34593
,-3.50757
,-3.40213
,-3.54545
,-3.44522
,-3.57197
,-3.47884
,-3.59691
,-3.50662
,-3.62391
,-3.54403
,-3.64174
,-3.57892
,-3.664
,-3.60418
,-3.69604
,-3.60181
,-3.72572
,-3.64806
,-3.74608
,-3.66747
,-3.75255
,-3.67079
,-3.7576
,-3.64711
,-3.69494
,-3.55429
,-3.72509
,-3.5524
,-3.65311
,-3.51767
,-3.71135
,-3.5142
,-3.72067
,-3.51467
,-3.73772
,-3.49368
,-3.74877
,-3.60986
,-3.80322
,-3.57971
,-3.81648
,-3.57655
,-3.86826
,-3.68042
,-3.84142
,-3.64727
,-3.8299
,-3.7224
,-3.87283
,-3.73535
,-3.87694
,-3.80054
,-3.88278
,-3.78207
,-3.85563
,-3.78586
,-3.89036
,-3.73535
,-3.92603
,-3.7254
,-3.92698
,-3.73756
,-3.95665
,-3.74371
,-3.97102
,-3.76092
,-3.98112
,-3.74908
,-3.9887
,-3.70362
,-3.95444
,-3.68531
,-3.90393
,-3.64664
,-3.83542
,-3.64727
,-3.76755
,-3.64506
,-3.72114
,-3.58792
,-3.676
,-3.55919
,-3.65327
,-3.52067
,-3.62075
,-3.48863
,-3.57766
,-3.44569
,-3.50473
,-3.39581
,-3.46985
,-3.35556
,-3.44459
,-3.34372
,-3.38682
,-3.31136
,-3.34656
,-3.26606
,-3.30095
,-3.22565
,-3.25943
,-3.15904
,-3.23465
,-3.11879
,-3.20134
,-3.0798
,-3.14973
,-3.0487
,-3.09858
,-3.03671
,-3.09101
,-2.99882
,-3.08311
,-2.99519
,-3.11389
,-2.98919
,-3.11232
,-2.96757
,-3.07917
,-2.96315
,-3.07538
,-2.95762
,-3.06985
,-2.93395
,-3.0416
,-2.94579
,-3.03229
,-2.92937
,-3.01745
,-2.91642
,-2.98225
,-2.90585
,-2.96062
,-2.89606
,-2.94799
,-2.86544
,-2.91437
,-2.81114
,-2.91548
,-2.78825
,-2.8817
,-2.76015
,-2.81177
,-2.74737
,-2.78462
,-2.70333
,-2.76947
,-2.67949
,-2.72322
,-2.61651
,-2.69622
,-2.56821
,-2.66718
,-2.54153
,-2.58005
,-2.51754
,-2.5469
,-2.44856
,-2.53916
,-2.41746
,-2.46292
,-2.38116
,-2.43767
,-2.33996
,-2.378
,-2.2855
,-2.33428
,-2.22299
,-2.2825
,-2.19916
,-2.2342
,-2.14975
,-2.19442
,-2.09876
,-2.14928
,-2.04952
,-2.08551
,-1.99237
,-2.03531
,-1.93413
,-1.96664
,-1.84857
,-1.90477
,-1.7436
,-1.7466
,-1.49673
,-1.5695
,-1.32467
,-1.37281
,-1.17487
,-1.23422
,-1.06043
,-1.0909
,-0.7703
,-0.80882
,-0.67165
,-0.72595
,-0.53006
,-0.59919
,-0.39809
,-0.44103
,-0.28492
,-0.36479
,-0.22099
,-0.28965
,-0.19494
,-0.22983
,-0.15974
,-0.17932
,-0.07182
,-0.16953
,-0.05193
,-0.11381
,0.04909
,-0.09455
,0.05083
,-0.01815
,0.12139
,0.09613
,0.15864
,0.10466
,0.2655
,0.1468
,0.3086
,0.27324
,0.39257
,0.33448
,0.4535
,0.40189
,0.5108
,0.48223
,0.56921
,0.56337
,0.65318
,0.63519
,0.71506
,0.67781
,0.77015
,0.74395
,0.84986
,0.82382
,0.92516
,0.88791
,0.97614
,0.94726
,1.03691
,0.98703
,1.07559
,1.03928
,1.11789
,1.09784
,1.14867
,1.13273
,1.1935
,1.17566
,1.24591
,1.21607
,1.30415
,1.27669
,1.33493
,1.32389
,1.39839
,1.37771
,1.44543
,1.42159
,1.50478
,1.468
,1.53682
,1.51678
,1.60959
,1.56571
,1.65774
,1.59602
,1.70367
,1.64069
,1.72593
,1.68773
,1.76334
,1.73524
,1.79159
,1.7283
,1.7878
,1.68157
,1.76113
,1.66658
,1.73887
,1.70604
,1.84195
,1.79838
,1.95228
,1.87052
,2.01874
,1.9556
,2.10114
,2.06925
,2.19348
,2.14454
,2.26972
,2.21558
,2.30697
,2.25977
,2.35101
,2.29718
,2.4001
,2.33965
,2.43704
,2.37643
,2.48881
,2.42773
,2.53948
,2.49655
,2.60389
,2.57768
,2.6806
,2.65519
,2.76631
,2.7218
,2.83308
,2.80388
,2.88849
,2.85518
,2.93174
,2.8847
,2.94168
,2.90806
,2.97894
,2.93584
,2.99788
,2.96536
,3.01461
,2.97831
,3.01982
,2.9892
,3.04855
,3.01272
,3.06733
,3.02692
,3.08343
,3.0536
,3.10506
,3.07081
,3.12321
,3.09559
,3.13915
,3.10869
,3.1581
,3.12479
,3.17704
,3.15462
,3.20624
,3.16804
,3.22692
,3.19219
,3.24034
,3.20861
,3.26117
,3.23544
,3.28043
,3.25012
,3.2959
,3.25833
,3.31816
,3.2697
,3.3161
,3.28564
,3.33868
,3.29274
,3.35999
,3.31595
,3.37987
,3.33899
,3.39961
,3.37151
,3.44333
,3.42249
,3.51894
,3.48895
,3.59581
,3.56456
,3.62107
,3.59676
,3.64838
,3.62312
,3.70189
,3.66511
,3.73709
,3.71483
,3.78397
,3.74687
,3.80686
,3.76613
,3.84553
,3.76724
,3.84648
,3.57624
,3.81522
,3.5603
,3.62722
,3.55288
,3.6217
,3.53441
,3.6217
,3.51247
,3.58097
,3.491
,3.56772
,3.44664
,3.55603
,3.44286
,3.52573
,3.4438
,3.50647
,3.42549
,3.48421
,3.38619
,3.47174
,3.39345
,3.44649
,3.35304
,3.42897
,3.33741
,3.41018
,3.30553
,3.37514
,3.29385
,3.36141
,3.24081
,3.31737
,3.16567
,3.29953
,3.142
,3.23276
,3.07191
,3.25123
,3.12021
,3.20387
,3.08233
,3.23323
,3.07159
,3.16757
,3.11816
,3.20892
,3.06686
,3.19061
,3.04602
,3.17656
,3.0345
,3.121
,3.00025
,3.11011
,2.99346
,3.0929
,2.99314
,3.10222
,2.9641
,3.08091
,2.94074
,3.03545
,2.94658
,3.00735
,2.92511
,2.98399
,2.90412
,2.97452
,2.90538
,2.9742
,2.88139
,2.96536
,2.85155
,2.94658
,2.81462
,2.90159
,2.77563
,2.87555
,2.7368
,2.82346
,2.72922
,2.77799
,2.67602
,2.74595
,2.6413
,2.71849
,2.62425
,2.6967
,2.57279
,2.68029
,2.57279
,2.67571
,2.55116
,2.62614
,2.5398
,2.61636
,2.54469
,2.6072
,2.52165
,2.59962
,2.52023
,2.57784
,2.51391
,2.5851
,2.49481
,2.57516
,2.47461
,2.55385
,2.4754
,2.55937
,2.46135
,2.54201
,2.43073
,2.5046
,2.41036
,2.4664
,2.35638
,2.41668
,2.31092
,2.39174
,2.28329
,2.35938
,2.24841
,2.32954
,2.19616
,2.29371
,2.17722
,2.23578
,2.12087
,2.21053
,2.09798
,2.17438
,2.05631
,2.12844
,2.01321
,2.09451
,1.9717
,2.06657
,1.94155
,2.03058
,1.92008
,2.00501
,1.88867
,1.9646
,1.86042
,1.94344
,1.82679
,1.90193
,1.78638
,1.88488
,1.75876
,1.84021
,1.73224
,1.80675
,1.68962
,1.78654
,1.66295
,1.73871
,1.63643
,1.70115
,1.60549
,1.66847
,1.55513
,1.64053
,1.53019
,1.6088
,1.49799
,1.57013
,1.45948
,1.53083
,1.4238
,1.49705
,1.39271
,1.46911
,1.35845
,1.43201
,1.32973
,1.39539
,1.28711
,1.3613
,1.26059
,1.33336
,1.23217
,1.29595
,1.18813
,1.2568
,1.08869
,1.23296
,0.91285
,1.14788
,0.8235
,1.00976
,0.76936
,0.90274
,0.72706
,0.85933
,0.69091
,0.81261
,0.64008
,0.88254
,0.74521
,0.81514
,0.65729
,0.75705
,0.57521
,0.67875
,0.54016
,0.61782
,0.50907
,0.57173
,0.48286
,0.57536
,0.43409
,0.53827
,0.41625
,0.48318
,0.39652
,0.46534
,0.34127
,0.42841
,0.30039
,0.38926
,0.26598
,0.35264
,0.20978
,0.32659
,0.19652
,0.28713
,0.15943
,0.25414
,0.10229
,0.18547
,0.0663
,0.14617
,0.00537
,0.11476
,-0.05446
,0.07309
,-0.05635
,0.03647
,-0.10055
,-0.01468
,-0.14554
,-0.05746
,-0.19368
,-0.10434
,-0.21357
,-0.1277
,-0.26992
,-0.16542
,-0.26503
,-0.18879
,-0.32817
,-0.21199
,-0.32833
,-0.25366
,-0.35437
,-0.28571
,-0.39478
,-0.2966
,-0.41909
,-0.3157
,-0.45524
,-0.33953
,-0.51127
,-0.3621
,-0.50985
,-0.39273
,-0.54411
,-0.42824
,-0.54379
,-0.46707
,-0.56194
,-0.48744
,-0.60756
,-0.51696
,-0.64308
,-0.53242
,-0.6385
,-0.55705
,-0.65555
,-0.57299
,-0.67244
,-0.61103
,-0.67986
,-0.62335
,-0.67859
,-0.57583
,-0.63282
,-0.56778
,-0.71837
,-0.59225
,-0.83281
,-0.67733
,-0.94441
,-0.77867
,-1.11741
,-0.93226
,-1.23201
,-1.09958
,-1.32151
,-1.21418
,-1.39618
,-1.286
,-1.45648
,-1.35593
,-1.51109
,-1.40849
,-1.56744
,-1.47479
,-1.62806
,-1.52782
,-1.71677
,-1.59854
,-1.81037
,-1.69199
,-1.91455
,-1.77817
,-2.00342
,-1.8732
,-2.08803
,-1.96522
,-2.17437
,-2.05946
,-2.22899
,-2.13665
,-2.23657
,-2.18085
,-2.29608
,-2.20768
,-2.33459
,-2.27098
,-2.36664
,-2.29529
,-2.38731
,-2.33649
,-2.42251
,-2.34327
,-2.44998
,-2.36537
,-2.48392
,-2.40736
,-2.50933
,-2.42236
,-2.55826
,-2.48313
,-2.5862
,-2.50696
,-2.62172
,-2.54895
,-2.65203
,-2.58557
,-2.6776
,-2.60783
,-2.71438
,-2.63971
,-2.74405
,-2.67097
,-2.76221
,-2.69922
,-2.7873
,-2.73095
,-2.82408
,-2.75273
,-2.8446
,-2.77815
,-2.87128
,-2.80972
,-2.89717
,-2.82692
,-2.92811
,-2.84729
,-2.95778
,-2.87649
,-2.98335
,-2.91927
,-3.02297
,-2.95794
,-3.06559
,-2.97688
,-3.08643
,-3.03102
,-3.09495
,-3.02692
,-3.10032
,-3.03055
,-3.0929
,-3.04018
,-3.08659
,-3.01524
,-3.08627
,-3.01461
,-3.05107
,-2.99346
,-3.04649
,-2.9933
,-3.07775
,-2.98935
,-3.28374
,-3.05707
,-3.33694
,-3.25138
,-3.40734
,-3.30647
,-3.46022
,-3.35825
,-3.5202
,-3.42707
,-3.54577
,-3.46874
,-3.56976
,-3.49084
,-3.61917
,-3.52399
,-3.63827
,-3.54325
,-3.66068
,-3.58586
,-3.70315
,-3.59802
,-3.7333
,-3.60638
,-3.74829
,-3.61838
,-3.80322
,-3.62675
,-3.77986
,-3.65942
,-3.74703
,-3.63243
,-3.68199
,-3.59391
,-3.72603
,-3.5966
,-3.66968
,-3.50599
,-3.66842
,-3.52888
,-3.69857
,-3.55808
,-3.70362
,-3.55256
,-3.71246
,-3.63117
,-3.77828
,-3.64001
,-3.8097
,-3.66952
,-3.91766
,-3.67063
,-3.91498
,-3.658
,-3.90977
,-3.66653
,-3.98065
,-3.68136
,-3.99343
,-3.73677
,-4.00906
,-3.70062
,-3.99501
,-3.66116
,-3.9737
,-3.6651
,-3.97354
,-3.67379
,-3.96249
,-3.70046
,-3.98996
,-3.70583
,-4.025
,-3.73898
,-4.00716
,-3.70078
,-3.94734
,-3.70046
,-3.92066
,-3.66053
,-3.87457
,-3.63559
,-3.82548
,-3.59534
,-3.78854
,-3.58129
,-3.72335
,-3.56566
,-3.66905
,-3.53883
,-3.60449
,-3.5243
,-3.58018
,-3.47048
,-3.54956
,-3.42865
,-3.53993
,-3.38098
,-3.47995
,-3.33283
,-3.42691
,-3.32084
,-3.37198
,-3.27301
,-3.34862
,-3.26732
,-3.28185
,-3.18319
,-3.25864
,-3.15999
,-3.23575
,-3.12447
,-3.17767
,-3.09921
,-3.12194
,-3.05486
,-3.10095
,-3.01824
,-3.0779
,-2.99693
,-3.07869
,-3.00798
,-3.0536
,-2.98667
,-3.05502
,-2.98083
,-3.05786
,-2.96299
,-3.03197
,-2.97041
,-3.03781
,-2.94342
,-3.02139
,-2.95163
,-3.00971
,-2.93253
,-2.99882
,-2.92574
,-2.96725
,-2.90522
,-2.96836
