Date,U1,U3,Torq1
,-0.57379,2.10655,0.0023
,-0.67437,1.61749,-0.0015
,-0.53153,1.89959,0.0023
,-0.63712,1.3024,-0.0025
,-0.44086,1.73842,0.0032
,-0.60508,1.28456,-0.0015
,-0.37161,1.66059,0.0023
,-0.56282,1.27303,-0.0006
,-0.41872,1.57455,0.0023
,-0.53343,1.34928,-0.0025
,-0.44516,1.56461,0.0032
,-0.54609,1.49041,-0.0015
,-0.47073,1.72815,0.0032
,-0.54558,1.69263,-0.0006
,-0.45443,1.95611,0.0032
,-0.5736,1.72515,-0.0015
,-0.45771,2.00599,0.0032
,-0.57506,1.64496,-0.0006
,-0.48193,1.82619,0.0023
,-0.53753,1.62317,-0.0025
,-0.46153,1.74852,0.0023
,-0.538,1.56334,-0.0025
,-0.44804,1.76967,0.0032
,-0.51981,1.47873,-0.0015
,-0.42452,1.68301,0.0023
,-0.47333,1.4099,-0.0006
,-0.3679,1.58734,0.0023
,-0.43663,1.26198,-0.0015
,-0.32903,1.48631,0.0023
,-0.3911,1.03482,-0.0015
,-0.28574,1.35244,0.0032
,-0.37046,0.94389,-0.0015
,-0.28089,1.15795,0.0023
,-0.34911,0.81775,-0.0015
,-0.27746,1.02708,0.0013
,-0.35859,0.69462,-0.0015
,-0.26396,0.94326,0.0013
,-0.33574,0.66668,-0.0015
,-0.24786,0.8337,0.0023
,-0.34201,0.60953,-0.0015
,-0.24759,0.7966,0.0023
,-0.33976,0.58049,-0.0015
,-0.22537,0.78366,0.0032
,-0.30267,0.619,-0.0006
,-0.20095,0.79644,0.0023
,-0.276,0.67615,-0.0025
,-0.18394,0.79913,0.0023
,-0.24009,0.68846,-0.0015
,-0.16204,0.87664,0.0023
,-0.22016,0.70488,-0.0006
,-0.12242,0.88532,0.0023
,-0.18899,0.73993,-0.0034
,-0.10822,0.91358,0.0013
,-0.17234,0.77781,-0.0015
,-0.10242,0.912,0.0032
,-0.16287,0.76913,-0.0015
,-0.08048,0.93442,0.0023
,-0.15079,0.74403,-0.0015
,-0.06055,0.89463,0.0023
,-0.13908,0.67015,-0.0006
,-0.06529,0.83165,0.0023
,-0.13028,0.60401,-0.0006
,-0.05542,0.79376,0.0023
,-0.1008,0.53328,-0.0006
,-0.03226,0.69288,0.0023
,-0.0793,0.46935,-0.0015
,-0.00267,0.62879,0.0023
,-0.06915,0.40857,-0.0006
,0.01083,0.58917,0.0023
,-0.03988,0.37716,-0.0015
,0.03344,0.49461,0.0023
,-0.02942,0.31133,-0.0015
,0.0433,0.46919,0.0013
,-0.02303,0.27376,-0.0015
,0.06544,0.43746,0.0023
,0.0072,0.23287,-0.0025
,0.09697,0.39357,0.0023
,0.00882,0.14557,-0.0006
,0.11875,0.3148,0.0023
,0.03537,0.07927,-0.0006
,0.18626,0.25813,0.0023
,0.12281,-0.14395,-0.0025
,0.36158,0.18819,0.0023
,0.33313,-0.69632,-0.0025
,0.4766,-0.10354,0.0023
,0.35574,-1.05419,-0.0025
,0.48406,-0.68542,0.0023
,0.38068,-1.20843,-0.0015
,0.52293,-1.01552,0.0013
,0.41871,-1.2651,-0.0015
,0.59348,-1.07629,0.0023
,0.49925,-1.40007,-0.0015
,0.60283,-1.09839,0.0023
,0.44081,-1.46417,-0.0006
,0.62923,-1.13991,0.0013
,0.42657,-1.36724,-0.0006
,0.59936,-1.14907,0.0032
,0.44061,-1.2992,-0.0015
,0.54636,-1.08908,0.0023
,0.42053,-1.32351,-0.0025
,0.54467,-1.03036,0.0032
,0.44685,-1.31625,-0.0015
,0.57829,-1.06193,0.0023
,0.46105,-1.38381,-0.0015
,0.60259,-1.15002,0.0032
,0.47885,-1.65502,-0.0006
,0.66541,-1.1568,0.0023
,0.51215,-1.65534,-0.0015
,0.67693,-1.27457,0.0023
,0.52742,-1.64602,-0.0015
,0.64552,-1.32603,0.0023
,0.48895,-1.54515,0.0004
,0.60946,-1.32272,0.0023
,0.45261,-1.42612,-0.0015
,0.6035,-1.13028,0.0013
,0.43915,-1.39123,-0.0006
