Date,U1,U3,Speed1
,0.26155,-1.42817,0
,0.40372,-1.05388,0
,0.3643,-1.31151,0
,0.66391,-0.95869,0
,0.61092,-1.76568,0
,0.86677,-1.18854,0
,0.86649,-2.09341,0
,1.07282,-1.67144,0
,0.94387,-2.11867,0
,1.05882,-1.95086,0
,0.88962,-2.03326,0
,1.03992,-1.87761,0
,0.90059,-1.96807,0
,1.01936,-1.82567,0
,0.97173,-2.22286,0
,1.15348,-1.89245,0
,1.13103,-2.49328,0
,1.3151,-2.19555,0
,1.25106,-2.52233,0
,1.34458,-2.36146,0
,1.22577,-2.42177,0
,1.34619,-2.21433,0
,1.1476,-2.26059,0
,1.28803,-2.09609,0
,1.03313,-2.13098,0
,1.1886,-1.97059,0
,1.00618,-2.01243,0
,1.08845,-1.85756,0
,0.99545,-1.8964,0
,1.06998,-1.8132,0
,0.98838,-1.86972,0
,1.07101,-1.75779,0
,0.97149,-1.81115,0
,1.06087,-1.73632,0
,0.96597,-1.81036,0
,1.03419,-1.73174,0
,0.9561,-1.82946,0
,1.02172,-1.74343,0
,0.96068,-1.8795,0
,1.03522,-1.77263,0
,0.97011,-1.94344,0
,1.03676,-1.84793,0
,0.96913,-1.99932,0
,1.04118,-1.84241,0
,0.98491,-2.10825,0
,1.05404,-1.94581,0
,1.00866,-2.28079,0
,1.10325,-2.06657,0
,0.97303,-2.27795,0
,1.06493,-1.97296,0
,0.87064,-2.24891,0
,1.0544,-1.95923,0
,0.80012,-2.25001,0
,0.91621,-2.07273,0
,0.77728,-2.20691,0
,0.87056,-2.07273,0
,0.7976,-2.11188,0
,0.9812,-1.86056,0
,0.9651,-1.91139,0
,1.07926,-1.76584,0
,1.01959,-1.79931,0
,1.13375,-1.6094,0
,1.00673,-1.68218,0
,1.1401,-1.49448,0
,0.95315,-1.52542,0
,1.1311,-1.23795,0
,0.86405,-1.69417,0
,1.22087,-1.09461,0
,0.89143,-1.64413,0
,1.30149,-1.00115,0
,0.86937,-1.58951,0
,1.11343,-1.00889,0
,0.73999,-1.33551,0
,1.07709,-0.86744,0
,0.68976,-1.16643,0
,1.00061,-0.73926,0
,0.71477,-1.13202,0
,1.00515,-0.77099,0
,0.73139,-1.28578,0
,1.01742,-0.83239,0
,0.81981,-1.32509,0
,1.09607,-0.72426,0
,0.76161,-1.47506,0
,1.13785,-0.7642,0
,0.7448,-1.54736,0
,1.17194,-0.8616,0
,0.74855,-1.4629,0
,1.14981,-0.78235,0
,0.6355,-1.4157,0
,1.13272,-0.69126,0
,0.61897,-1.42549,0
,1.09019,-0.66411,0
,0.62055,-1.33424,0
,0.99193,-0.65622,0
,0.51874,-1.20527,0
,0.90757,-0.59623,0
,0.52932,-1.03762,0
,0.80644,-0.59986,0
,0.5174,-0.97337,0
,0.70929,-0.63112,0
,0.43225,-0.87123,0
,0.64659,-0.57571,0
,0.41489,-0.76688,0
,0.60133,-0.4892,0
,0.39851,-0.72994,0
,0.50758,-0.55029,0
,0.33932,-0.76041,0
,0.47652,-0.53735,0
,0.32753,-0.74225,0
,0.44507,-0.58044,0
,0.26731,-0.79845,0
,0.42483,-0.61233,0
,0.25855,-0.85244,0
,0.39441,-0.64722,0
,0.2432,-0.86791,0
,0.38304,-0.66822,0
,0.293,-0.7492,0
,0.41974,-0.5896,0
,0.32914,-0.65606,0
,0.45435,-0.47862,0
,0.33214,-0.5795,0
,0.44839,-0.44847,0
,0.33814,-0.55029,0
,0.45123,-0.40664,0
,0.33329,-0.53387,0
,0.46488,-0.38059,0
,0.34315,-0.46694,0
,0.46078,-0.25903,0
,0.28463,-0.48936,0
,0.41682,-0.26835,0
,0.23152,-0.42558,0
,0.41185,-0.18768,0
,0.19909,-0.42463,0
,0.37436,-0.11664,0
,0.11244,-0.42069,0
,0.33451,-0.12169,0
,0.10229,-0.36401,0
,0.33001,-0.02903,0
,0.07294,-0.34996,0
,0.24644,-0.08349,0
,0.04086,-0.32423,0
,0.21586,-0.03581,0
,0.01762,-0.26409,0
,0.15154,-0.07354,0
,-0.01533,-0.2633,0
,0.15402,-0.07544,0
,-0.05665,-0.28477,0
,0.10427,-0.0355,0
,-0.0866,-0.24751,0
,0.05159,-0.0475,0
,-0.25343,-0.19415,0
,-0.01636,-0.06707,0
,-0.55178,-0.23062,0
,-0.21574,0.12615,0
,-0.77862,-0.02098,0
,-0.52956,0.46556,0
,-0.82436,0.34558,0
,-0.58267,0.63211,0
,-0.91638,0.53913,0
,-0.71001,0.78287,0
,-0.93271,0.57733,0
,-0.82815,0.77624,0
,-1.01171,0.67678,0
,-0.88047,0.83907,0
,-1.01187,0.74703,0
,-0.87281,0.95304,0
,-0.93105,0.65342,0
,-0.81591,0.87553,0
,-0.86216,0.5879,0
,-0.7351,0.7535,0
,-0.8227,0.5658,0
,-0.68057,0.76676,0
,-0.86756,0.58396,0
