Date,U1,U3,Aux1
,0.51178,-1.10093,0
,0.7116,-0.66965,0
,0.46845,-1.00164,0
,0.67719,-0.66412,0
,0.43179,-0.9085,0
,0.59926,-0.64281,0
,0.39166,-0.81536,0
,0.53064,-0.59814,0
,0.36901,-0.79231,0
,0.48131,-0.59703,0
,0.37118,-0.75253,0
,0.47362,-0.5874,0
,0.34234,-0.72301,0
,0.43444,-0.60871,0
,0.31239,-0.77352,0
,0.43029,-0.57888,0
,0.29676,-0.77936,0
,0.39628,-0.64139,0
,0.26583,-0.78489,0
,0.38776,-0.6316,0
,0.26796,-0.73911,0
,0.39403,-0.55488,0
,0.29676,-0.68165,0
,0.4181,-0.4117,0
,0.31507,-0.59103,0
,0.3945,-0.46679,0
,0.30399,-0.59214,0
,0.42193,-0.38786,0
,0.28832,-0.56767,0
,0.42051,-0.32977,0
,0.30264,-0.52489,0
,0.39407,-0.29267,0
,0.28931,-0.53531,0
,0.40046,-0.35029,0
,0.25336,-0.49505,0
,0.36369,-0.28841,0
,0.23316,-0.4548,0
,0.32174,-0.24673,0
,0.15897,-0.38676,0
,0.30821,-0.22242,0
,0.1355,-0.36213,0
,0.23442,-0.20048,0
,0.11111,-0.31619,0
,0.20838,-0.15107,0
,0.04581,-0.32282,0
,0.18012,-0.11839,0
,0.04979,-0.27341,0
,0.18052,-0.0745,0
,0.00422,-0.2933,0
,0.14232,-0.08445,0
,-0.03268,-0.26962,0
,0.10192,-0.06329,0
,-0.06937,-0.20679,0
,0.06021,-0.07419,0
,-0.2407,-0.19211,0
,-0.01425,-0.05556,0
,-0.41223,-0.17317,0
,-0.19919,0.15172,0
,-0.57184,0.10199,0
,-0.38165,0.57226,0
,-0.64236,0.42166,0
,-0.54458,0.71655,0
,-0.76302,0.62499,0
,-0.57453,0.77654,0
,-0.81696,0.65988,0
,-0.66138,0.828,0
,-0.84174,0.72981,0
,-0.75623,0.88736,0
,-0.81661,0.81632,0
,-0.73457,0.91751,0
,-0.77967,0.75033,0
,-0.67676,0.92698,0
,-0.72159,0.71766,0
,-0.63186,0.82169,0
,-0.71508,0.69587,0
,-0.63237,0.79896,0
,-0.73871,0.69414,0
,-0.63916,0.80085,0
,-0.78172,0.71892,0
,-0.67743,0.83211,0
,-0.80875,0.75902,0
,-0.71804,0.88452,0
,-0.81968,0.78917,0
,-0.73433,0.90583,0
,-0.79139,0.81206,0
,-0.72131,0.9022,0
,-0.79834,0.76454,0
,-0.70068,0.85231,0
,-0.77316,0.76912,0
,-0.68631,0.84821,0
,-0.77072,0.79754,0
,-0.6843,0.90094,0
,-0.80572,0.83811,0
,-0.71393,0.94593,0
,-0.83136,0.87236,0
,-0.72767,0.96724,0
,-0.81183,0.89462,0
,-0.72613,0.99013,0
,-0.80765,0.90062,0
,-0.72285,0.99029,0
,-0.81878,0.90441,0
,-0.72625,0.98066,0
,-0.81712,0.91814,0
,-0.69989,1.00008,0
,-0.73891,0.73076,0
,-0.57981,0.9494,0
,-0.74566,0.68214,0
,-0.55346,0.91199,0
,-0.88408,0.90267,0
,-0.67846,1.46593,0
,-1.04539,1.44272,0
,-0.85938,1.84907,0
,-1.08595,1.83202,0
,-1.0068,2.02856,0
,-1.09566,1.93984,0
,-1.00411,2.03803,0
,-1.08765,1.93147,0
,-0.97697,2.02461,0
,-1.15793,2.00961,0
,-1.01465,2.23631,0
,-1.23775,2.20394,0
,-1.10071,2.38438,0
,-1.25657,2.23978,0
,-1.16582,2.40285,0
,-1.23617,2.07576,0
,-1.13831,2.27609,0
,-1.18369,2.01245,0
,-1.09017,2.09896,0
,-1.11006,1.99541,0
,-1.02104,2.08397,0
,-1.065,1.88569,0
